sample=212 explainer=permutation target=0 sample_size=128
detokenized_full_text: this film immediately catches the eye , with the atmospheric aerial views of a very pretty hong hong . filmed in those rich colours of 1950 films which modern blockbusters never seem to capture . probably a sign of those times , because this is not a high powered , seen it all before film , full of havoc and violence . the havoc and violence are there though , in the backdrop , with thousands of refugees trying to get out of china this is a very moving and compelling story , full of hope and love in a tragic time , in recent history . the story of two people from different cultures falling in love . and the build up to them trying to overcome
idx	token_id	token_str	shap_value
0	70	this	-2.4462894797325134
1	63	film	-0.3409995436668396
2	3528	immediately	-0.14337372779846191
3	16092	catches	0.23121821880340576
4	31	the	0.5151621103286743
5	2959	eye	0.024062037467956543
6	14	,	-0.06315267086029053
7	126	with	0.0488736629486084
8	31	the	-0.007040500640869141
9	10184	atmospheric	-0.05641627311706543
10	26299	aerial	-0.09926974773406982
11	12322	views	0.9152820706367493
12	11	of	-0.1627500057220459
13	9	a	0.037943363189697266
14	67	very	-0.07194459438323975
15	513	pretty	0.11577928066253662
16	1412	hong	-0.2606830596923828
17	1412	hong	0.03317546844482422
18	18	.	0.007619380950927734
19	524	filmed	-0.23591077327728271
20	82	in	-0.008420705795288086
21	977	those	-0.06694304943084717
22	6440	rich	0.6557635068893433
23	3123	colours	-0.06142723560333252
24	11	of	-0.03977560997009277
25	3476	1950	-0.3962535858154297
26	25	films	0.221754789352417
27	209	which	0.17229485511779785
28	482	modern	-0.07424414157867432
29	9321	blockbusters	0.4288290739059448
30	396	never	0.06269919872283936
31	1537	seem	-0.05446779727935791
32	7	to	0.07724440097808838
33	4800	capture	-0.18284821510314941
34	18	.	0.012423157691955566
35	1047	probably	-0.1338716745376587
36	9	a	0.2723115086555481
37	5825	sign	0.2313450574874878
38	11	of	-0.037526845932006836
39	977	those	-0.16265952587127686
40	335	times	-0.08173084259033203
41	14	,	-0.08885657787322998
42	15	because	0.06203138828277588
43	70	this	0.42452871799468994
44	41	is	-0.04007601737976074
45	17	not	0.13170742988586426
46	9	a	0.02784895896911621
47	304	high	0.050815701484680176
48	4092	powered	0.10259294509887695
49	14	,	-0.03006267547607422
50	1065	seen	0.1460644006729126
51	47	it	0.019042611122131348
52	544	all	0.24470829963684082
53	604	before	0.08669102191925049
54	63	film	-4.309440493583679
55	14	,	-0.03733837604522705
56	245	full	0.1844956874847412
57	11	of	-0.13970434665679932
58	10696	havoc	0.15627312660217285
59	33	and	-0.1142277717590332
60	1853	violence	-0.4477517604827881
61	18	.	0.02105891704559326
62	31	the	0.2294154167175293
63	10696	havoc	0.1788114309310913
64	33	and	-1.4202948808670044
65	1853	violence	-0.061473727226257324
66	226	are	0.015827655792236328
67	158	there	0.1866525411605835
68	157	though	-0.11261868476867676
69	14	,	-0.03335726261138916
70	82	in	-0.016742229461669922
71	31	the	0.20296120643615723
72	3291	backdrop	-0.28384625911712646
73	14	,	-0.061716437339782715
74	126	with	0.15970265865325928
75	665	thousands	-0.10718560218811035
76	11	of	-0.04786360263824463
77	26643	refugees	-0.09638345241546631
78	638	trying	0.2587094306945801
79	7	to	0.22891390323638916
80	114	get	3.054587662220001
81	258	out	0.14537036418914795
82	11	of	-0.04766345024108887
83	5521	china	0.12127673625946045
84	70	this	-0.022914409637451172
85	41	is	-0.07238340377807617
86	9	a	0.15557515621185303
87	67	very	-0.07983076572418213
88	136	moving	-0.1273031234741211
89	33	and	-0.10577702522277832
90	4761	compelling	0.2437915802001953
91	202	story	-0.32583916187286377
92	14	,	-0.03345632553100586
93	245	full	0.21117055416107178
94	11	of	-0.04535198211669922
95	502	hope	-0.03769063949584961
96	33	and	-0.7932567596435547
97	820	love	-0.23579895496368408
98	82	in	-0.030847668647766113
99	9	a	0.030091166496276855
100	3721	tragic	0.29336225986480713
101	552	time	-0.13331782817840576
102	14	,	-0.03963768482208252
103	82	in	-0.016652822494506836
104	3492	recent	0.20343148708343506
105	3809	history	-0.32074856758117676
106	18	.	0.011292099952697754
107	31	the	0.0892249345779419
108	202	story	-0.11225593090057373
109	11	of	-0.06607139110565186
110	595	two	-0.06285178661346436
111	78	people	0.10788404941558838
112	376	from	0.10609328746795654
113	586	different	-0.07003617286682129
114	12407	cultures	0.4587599039077759
115	1833	falling	-0.49200910329818726
116	82	in	-0.0055272579193115234
117	820	love	-0.2021346092224121
118	18	.	0.024216055870056152
119	33	and	-0.27534937858581543
120	31	the	-0.007274270057678223
121	668	build	-0.15391838550567627
122	195	up	0.26341843605041504
123	7	to	0.20181596279144287
124	230	them	0.013938665390014648
125	638	trying	0.2539123296737671
126	7	to	0.05598318576812744
127	1350	overcome	-0.18292009830474854
